date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:02:40	1758/1758	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-6de%22	https://duckduckgo.com/assets/icons/browsers/small/edge.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/edge.png	(from https://duckduckgo.com/s1224.css)
05:02:40	2342/2342	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2255bae5c2-926%22	https://duckduckgo.com/assets/icons/browsers/small/edge.svg	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/edge.svg	(from https://duckduckgo.com/s1224.css)
05:02:41	2370/2370	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-942%22	https://duckduckgo.com/assets/icons/browsers/small/arora.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/arora.png	(from https://duckduckgo.com/s1224.css)
05:02:41	14877/14877	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2255bae5c2-3a1d%22	https://duckduckgo.com/assets/icons/browsers/small/arora.svg	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/arora.svg	(from https://duckduckgo.com/s1224.css)
05:02:42	781/781	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-30d%22	https://duckduckgo.com/assets/icons/browsers/small/maxthon.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/maxthon.png	(from https://duckduckgo.com/s1224.css)
05:02:42	738/738	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2255bae5c2-2e2%22	https://duckduckgo.com/assets/icons/browsers/small/maxthon.svg	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/maxthon.svg	(from https://duckduckgo.com/s1224.css)
05:02:42	2002/2002	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-7d2%22	https://duckduckgo.com/assets/icons/browsers/small/seamonkey.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/seamonkey.png	(from https://duckduckgo.com/s1224.css)
05:02:43	9617/9617	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2255bae5c2-2591%22	https://duckduckgo.com/assets/icons/browsers/small/seamonkey.svg	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/seamonkey.svg	(from https://duckduckgo.com/s1224.css)
05:02:43	3313/3313	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-cf1%22	https://duckduckgo.com/assets/icons/browsers/small/palemoon.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/palemoon.png	(from https://duckduckgo.com/s1224.css)
05:02:43	27038/27038	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2255bae5c2-699e%22	https://duckduckgo.com/assets/icons/browsers/small/palemoon.svg	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/palemoon.svg	(from https://duckduckgo.com/s1224.css)
05:02:43	830/830	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-33e%22	https://duckduckgo.com/assets/icons/browsers/small/vivaldi.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/vivaldi.png	(from https://duckduckgo.com/s1224.css)
05:02:44	1338/1338	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2255bae5c2-53a%22	https://duckduckgo.com/assets/icons/browsers/small/vivaldi.svg	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/vivaldi.svg	(from https://duckduckgo.com/s1224.css)
05:02:44	2467/2467	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-9a3%22	https://duckduckgo.com/assets/icons/browsers/small/ddg.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/ddg.png	(from https://duckduckgo.com/s1224.css)
05:02:44	6172/6172	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2255bae5c2-181c%22	https://duckduckgo.com/assets/icons/browsers/small/ddg.svg	/root/Desktop/duckduckgo/duckduckgo.com/assets/icons/browsers/small/ddg.svg	(from https://duckduckgo.com/s1224.css)
05:02:44	13238/13238	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-33b6%22	https://duckduckgo.com/assets/logo_homepage.normal.v107.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/logo_homepage.normal.v107.png	(from https://duckduckgo.com/s1224.css)
05:02:45	10180/10180	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2255bae5c2-27c4%22	https://duckduckgo.com/assets/logo_homepage.normal.v107.svg	/root/Desktop/duckduckgo/duckduckgo.com/assets/logo_homepage.normal.v107.svg	(from https://duckduckgo.com/s1224.css)
05:02:45	6898/6898	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-1af2%22	https://duckduckgo.com/assets/logo_homepage.alt.v105.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/logo_homepage.alt.v105.png	(from https://duckduckgo.com/s1224.css)
05:02:45	10369/10369	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2255bae5c2-2881%22	https://duckduckgo.com/assets/logo_homepage.alt.v106.svg	/root/Desktop/duckduckgo/duckduckgo.com/assets/logo_homepage.alt.v106.svg	(from https://duckduckgo.com/s1224.css)
05:02:45	6319/6319	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-18af%22	https://duckduckgo.com/assets/logo_homepage_small.normal.v107.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/logo_homepage_small.normal.v107.png	(from https://duckduckgo.com/s1224.css)
05:02:46	11816/11816	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2255bae5c2-2e28%22	https://duckduckgo.com/assets/logo_homepage_small.normal.v107.svg	/root/Desktop/duckduckgo/duckduckgo.com/assets/logo_homepage_small.normal.v107.svg	(from https://duckduckgo.com/s1224.css)
05:02:46	5021/5021	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-139d%22	https://duckduckgo.com/assets/logo_homepage_small.alt.v105.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/logo_homepage_small.alt.v105.png	(from https://duckduckgo.com/s1224.css)
05:02:46	12367/12367	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2255bae5c2-304f%22	https://duckduckgo.com/assets/logo_homepage_small.alt.v107.svg	/root/Desktop/duckduckgo/duckduckgo.com/assets/logo_homepage_small.alt.v107.svg	(from https://duckduckgo.com/s1224.css)
05:02:47	4874/4874	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-130a%22	https://duckduckgo.com/assets/logo_homepage_mobile.normal.v107.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/logo_homepage_mobile.normal.v107.png	(from https://duckduckgo.com/s1224.css)
05:02:47	9894/9894	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2255bae5c2-26a6%22	https://duckduckgo.com/assets/logo_homepage_mobile.normal.v107.svg	/root/Desktop/duckduckgo/duckduckgo.com/assets/logo_homepage_mobile.normal.v107.svg	(from https://duckduckgo.com/s1224.css)
05:02:47	3870/3870	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-f1e%22	https://duckduckgo.com/assets/logo_homepage_mobile.alt.v105.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/logo_homepage_mobile.alt.v105.png	(from https://duckduckgo.com/s1224.css)
05:02:47	17968/17968	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-4630%22	https://duckduckgo.com/assets/logo_homepage.normal.v107.retina.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/logo_homepage.normal.v107.retina.png	(from https://duckduckgo.com/s1224.css)
05:02:47	10380/10380	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2255bae5c2-288c%22	https://duckduckgo.com/assets/logo_homepage_mobile.alt.v106.svg	/root/Desktop/duckduckgo/duckduckgo.com/assets/logo_homepage_mobile.alt.v106.svg	(from https://duckduckgo.com/s1224.css)
05:02:48	14435/14435	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-3863%22	https://duckduckgo.com/assets/logo_homepage.alt.v105.retina.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/logo_homepage.alt.v105.retina.png	(from https://duckduckgo.com/s1224.css)
05:02:48	13066/13066	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-330a%22	https://duckduckgo.com/assets/logo_homepage_small.normal.v107.retina.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/logo_homepage_small.normal.v107.retina.png	(from https://duckduckgo.com/s1224.css)
05:02:48	10399/10399	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-289f%22	https://duckduckgo.com/assets/logo_homepage_small.alt.v105.retina.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/logo_homepage_small.alt.v105.retina.png	(from https://duckduckgo.com/s1224.css)
05:02:48	10096/10096	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-2770%22	https://duckduckgo.com/assets/logo_homepage_mobile.normal.v107.retina.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/logo_homepage_mobile.normal.v107.retina.png	(from https://duckduckgo.com/s1224.css)
05:02:48	8298/8298	---M--	200	added ('OK')	image/png	etag:%2255bae5c2-206a%22	https://duckduckgo.com/assets/logo_homepage_mobile.alt.v105.retina.png	/root/Desktop/duckduckgo/duckduckgo.com/assets/logo_homepage_mobile.alt.v105.retina.png	(from https://duckduckgo.com/s1224.css)
